face_tommy_frame25519.jpg:disgust
face_tommy_frame26267.jpg:fear
face_tommy_frame26206.jpg:fear
face_tommy_frame25626.jpg:fear
face_tommy_frame25591.jpg:fear
face_tommy_frame25673.jpg:anger
face_tommy_frame26295.jpg:surprise
face_tommy_frame25550.jpg:anger
face_tommy_frame26214.jpg:anger
face_tommy_frame26717.jpg:fear
face_tommy_frame25549.jpg:anger
face_tommy_frame25535.jpg:disgust
face_tommy_frame26211.jpg:fear
face_tommy_frame28155.jpg:fear
face_tommy_frame26957.jpg:fear
face_tommy_frame27018.jpg:surprise
face_tommy_frame26289.jpg:surprise
face_tommy_frame26927.jpg:fear
face_tommy_frame26294.jpg:fear
face_tommy_frame25570.jpg:fear
face_tommy_frame28148.jpg:anger
face_tommy_frame26247.jpg:fear
face_tommy_frame25530.jpg:anger
face_tommy_frame26909.jpg:fear
face_tommy_frame25527.jpg:anger
face_tommy_frame25560.jpg:anger
face_tommy_frame25317.jpg:anger
face_tommy_frame28170.jpg:anger
face_tommy_frame25674.jpg:fear
face_tommy_frame26920.jpg:fear
face_tommy_frame26674.jpg:surprise
face_tommy_frame26857.jpg:fear
face_tommy_frame25419.jpg:anger
face_tommy_frame28167.jpg:anger
face_tommy_frame26902.jpg:happy
face_tommy_frame26919.jpg:fear
face_tommy_frame26997.jpg:anger
face_tommy_frame26944.jpg:fear
face_tommy_frame25313.jpg:anger
face_tommy_frame26255.jpg:fear
face_tommy_frame26942.jpg:fear
face_tommy_frame26943.jpg:fear
face_tommy_frame25557.jpg:fear
face_tommy_frame26179.jpg:fear
face_tommy_frame25588.jpg:disgust
face_tommy_frame27005.jpg:fear
face_tommy_frame26719.jpg:fear
face_tommy_frame26585.jpg:fear
face_tommy_frame26322.jpg:fear
face_tommy_frame26780.jpg:fear
face_tommy_frame26979.jpg:fear
face_tommy_frame26262.jpg:fear
face_tommy_frame25648.jpg:anger
face_tommy_frame26245.jpg:fear
face_tommy_frame26872.jpg:fear
face_tommy_frame25629.jpg:fear
face_tommy_frame25592.jpg:surprise
face_tommy_frame25411.jpg:fear
face_tommy_frame26886.jpg:fear
face_tommy_frame26926.jpg:fear
face_tommy_frame28160.jpg:fear
face_tommy_frame25513.jpg:fear
face_tommy_frame27008.jpg:fear
face_tommy_frame25534.jpg:fear
face_tommy_frame25418.jpg:fear
face_tommy_frame26317.jpg:surprise
face_tommy_frame25631.jpg:fear
face_tommy_frame25311.jpg:fear
face_tommy_frame25675.jpg:fear
face_tommy_frame26953.jpg:fear
face_tommy_frame25538.jpg:fear
face_tommy_frame26257.jpg:fear
face_tommy_frame25461.jpg:anger
face_tommy_frame25414.jpg:fear
face_tommy_frame25485.jpg:sadness
face_tommy_frame26956.jpg:fear
face_tommy_frame26263.jpg:fear
face_tommy_frame26856.jpg:fear
face_tommy_frame25645.jpg:anger
face_tommy_frame25582.jpg:disgust
face_tommy_frame26922.jpg:fear
face_tommy_frame26287.jpg:fear
face_tommy_frame26248.jpg:fear
face_tommy_frame26252.jpg:fear
face_tommy_frame26866.jpg:happy
face_tommy_frame25625.jpg:fear
face_tommy_frame25584.jpg:fear
face_tommy_frame25540.jpg:disgust
face_tommy_frame25589.jpg:surprise
face_tommy_frame28172.jpg:anger
face_tommy_frame25636.jpg:disgust
face_tommy_frame25416.jpg:fear
face_tommy_frame26893.jpg:fear
face_tommy_frame27003.jpg:fear
face_tommy_frame27006.jpg:surprise
face_tommy_frame25637.jpg:fear
face_tommy_frame27021.jpg:fear
face_tommy_frame26939.jpg:anger
face_tommy_frame26586.jpg:anger
