andyface_resize_frame00326.jpg:anger,nortonface_norton_frame03651.jpg:fear,face_bogs_frame06889.jpg:fear,face_red_frame01812.jpg:happy,,,,,,
andyface_resize_frame00327.jpg:anger,nortonface_norton_frame03652.jpg:fear,face_bogs_frame06890.jpg:fear,face_red_frame01813.jpg:anger,,,,,,
andyface_resize_frame00328.jpg:anger,nortonface_norton_frame03653.jpg:fear,face_bogs_frame06891.jpg:fear,face_red_frame01814.jpg:anger,,,,,,
andyface_resize_frame00329.jpg:fear,nortonface_norton_frame03654.jpg:fear,face_bogs_frame06917.jpg:fear,face_red_frame01816.jpg:anger,,,,,,
andyface_resize_frame00330.jpg:anger,nortonface_norton_frame03655.jpg:disgust,face_bogs_frame06928.jpg:fear,face_red_frame01818.jpg:anger,,,,,,
andyface_resize_frame00331.jpg:anger,nortonface_norton_frame03656.jpg:fear,face_bogs_frame06929.jpg:fear,face_red_frame01834.jpg:anger,,,,,,
andyface_resize_frame00332.jpg:anger,nortonface_norton_frame03657.jpg:fear,face_bogs_frame06933.jpg:fear,face_red_frame01835.jpg:anger,,,,,,
andyface_resize_frame00333.jpg:anger,nortonface_norton_frame03658.jpg:fear,face_bogs_frame06934.jpg:fear,face_red_frame01836.jpg:anger,,,,,,
andyface_resize_frame00334.jpg:anger,nortonface_norton_frame03659.jpg:disgust,face_bogs_frame06935.jpg:fear,face_red_frame01837.jpg:anger,,,,,,
andyface_resize_frame00335.jpg:anger,nortonface_norton_frame03660.jpg:anger,face_bogs_frame06936.jpg:fear,face_red_frame01838.jpg:anger,,,,,,
andyface_resize_frame00336.jpg:anger,nortonface_norton_frame03661.jpg:fear,face_bogs_frame06942.jpg:fear,face_red_frame01839.jpg:anger,,,,,,
andyface_resize_frame00337.jpg:anger,nortonface_norton_frame03662.jpg:disgust,face_bogs_frame06950.jpg:anger,face_red_frame01840.jpg:anger,,,,,,
andyface_resize_frame00338.jpg:anger,nortonface_norton_frame03663.jpg:anger,face_bogs_frame06951.jpg:anger,face_red_frame01841.jpg:anger,,,,,,
andyface_resize_frame00339.jpg:anger,nortonface_norton_frame03664.jpg:disgust,face_bogs_frame06952.jpg:fear,face_red_frame01842.jpg:anger,,,,,,
andyface_resize_frame00340.jpg:disgust,nortonface_norton_frame03665.jpg:anger,face_bogs_frame06953.jpg:fear,face_red_frame01843.jpg:fear,,,,,,
andyface_resize_frame00341.jpg:disgust,nortonface_norton_frame03666.jpg:disgust,face_bogs_frame06954.jpg:fear,face_red_frame01844.jpg:fear,,,,,,
andyface_resize_frame00342.jpg:disgust,nortonface_norton_frame03667.jpg:disgust,face_bogs_frame06955.jpg:fear,face_red_frame01845.jpg:fear,,,,,,
andyface_resize_frame00343.jpg:disgust,nortonface_norton_frame03668.jpg:anger,face_bogs_frame06956.jpg:fear,face_red_frame01846.jpg:fear,,,,,,
andyface_resize_frame00344.jpg:disgust,nortonface_norton_frame03669.jpg:disgust,face_bogs_frame06957.jpg:fear,face_red_frame01847.jpg:anger,,,,,,
andyface_resize_frame00345.jpg:disgust,nortonface_norton_frame03670.jpg:anger,face_bogs_frame06958.jpg:fear,face_red_frame01848.jpg:fear,,,,,,
andyface_resize_frame00346.jpg:disgust,nortonface_norton_frame03671.jpg:disgust,face_bogs_frame06959.jpg:fear,face_red_frame01849.jpg:anger,,,,,,
andyface_resize_frame00347.jpg:anger,nortonface_norton_frame03672.jpg:anger,face_bogs_frame06960.jpg:fear,face_red_frame01850.jpg:fear,,,,,,
andyface_resize_frame00348.jpg:anger,nortonface_norton_frame03673.jpg:anger,face_bogs_frame06968.jpg:fear,face_red_frame01852.jpg:anger,,,,,,
andyface_resize_frame00349.jpg:surprise,nortonface_norton_frame03674.jpg:fear,face_bogs_frame06969.jpg:fear,face_red_frame01853.jpg:fear,,,,,,
andyface_resize_frame00350.jpg:anger,nortonface_norton_frame03675.jpg:fear,face_bogs_frame06970.jpg:fear,face_red_frame01854.jpg:fear,,,,,,
andyface_resize_frame00351.jpg:disgust,nortonface_norton_frame03676.jpg:fear,face_bogs_frame06971.jpg:fear,face_red_frame01855.jpg:fear,,,,,,
andyface_resize_frame00352.jpg:anger,nortonface_norton_frame03677.jpg:disgust,face_bogs_frame09089.jpg:fear,face_red_frame01856.jpg:fear,,,,,,
andyface_resize_frame00353.jpg:disgust,nortonface_norton_frame03678.jpg:fear,face_bogs_frame09109.jpg:fear,face_red_frame01857.jpg:anger,,,,,,
andyface_resize_frame00354.jpg:anger,nortonface_norton_frame03679.jpg:fear,face_bogs_frame09110.jpg:surprise,face_red_frame01858.jpg:fear,,,,,,
andyface_resize_frame00355.jpg:anger,nortonface_norton_frame03680.jpg:fear,face_bogs_frame09114.jpg:disgust,face_red_frame01859.jpg:anger,,,,,,
andyface_resize_frame00356.jpg:disgust,nortonface_norton_frame03681.jpg:fear,face_bogs_frame09115.jpg:disgust,face_red_frame01860.jpg:fear,,,,,,
andyface_resize_frame00357.jpg:disgust,nortonface_norton_frame03682.jpg:fear,face_bogs_frame09116.jpg:fear,face_red_frame01861.jpg:anger,,,,,,
andyface_resize_frame00358.jpg:disgust,nortonface_norton_frame03683.jpg:fear,face_bogs_frame09165.jpg:fear,face_red_frame01862.jpg:fear,,,,,,
andyface_resize_frame00359.jpg:anger,nortonface_norton_frame03684.jpg:anger,face_bogs_frame09166.jpg:disgust,face_red_frame01863.jpg:anger,,,,,,
andyface_resize_frame00360.jpg:disgust,nortonface_norton_frame03685.jpg:fear,face_bogs_frame09174.jpg:fear,face_red_frame01864.jpg:fear,,,,,,
andyface_resize_frame00361.jpg:disgust,nortonface_norton_frame03686.jpg:fear,face_bogs_frame09175.jpg:fear,face_red_frame01865.jpg:anger,,,,,,
andyface_resize_frame00362.jpg:disgust,nortonface_norton_frame03687.jpg:fear,face_bogs_frame09176.jpg:fear,face_red_frame01866.jpg:anger,,,,,,
andyface_resize_frame00363.jpg:anger,nortonface_norton_frame03688.jpg:fear,face_bogs_frame09177.jpg:fear,face_red_frame01867.jpg:fear,,,,,,
andyface_resize_frame00364.jpg:anger,nortonface_norton_frame03689.jpg:fear,face_bogs_frame09178.jpg:surprise,face_red_frame01868.jpg:fear,,,,,,
andyface_resize_frame00365.jpg:anger,nortonface_norton_frame03690.jpg:fear,face_bogs_frame12517.jpg:surprise,face_red_frame01869.jpg:fear,,,,,,
andyface_resize_frame00366.jpg:anger,nortonface_norton_frame03691.jpg:fear,face_bogs_frame12526.jpg:surprise,face_red_frame01870.jpg:anger,,,,,,
andyface_resize_frame00367.jpg:fear,nortonface_norton_frame03692.jpg:anger,face_bogs_frame12527.jpg:surprise,face_red_frame01871.jpg:fear,,,,,,
andyface_resize_frame00368.jpg:fear,nortonface_norton_frame03693.jpg:anger,face_bogs_frame12543.jpg:disgust,face_red_frame01872.jpg:fear,,,,,,
andyface_resize_frame00369.jpg:disgust,nortonface_norton_frame03694.jpg:fear,face_bogs_frame12544.jpg:disgust,face_red_frame01873.jpg:fear,,,,,,
andyface_resize_frame00449.jpg:disgust,nortonface_norton_frame03695.jpg:fear,face_bogs_frame12545.jpg:disgust,face_red_frame01874.jpg:anger,,,,,,
andyface_resize_frame00450.jpg:disgust,nortonface_norton_frame03696.jpg:fear,face_bogs_frame12560.jpg:disgust,face_red_frame01875.jpg:fear,,,,,,
andyface_resize_frame00451.jpg:disgust,nortonface_norton_frame03697.jpg:fear,face_bogs_frame12569.jpg:disgust,face_red_frame01876.jpg:happy,,,,,,
