frame_all		Andy_frames_unique	Andy_size	Tommy_frame	Tommy_size	Red_frames	Red_size	Norton_frames	Norton_size	Bogs_frames	Bogs_size	Skeet_frames	Skeet_size	"start scene: 0, andy mean size: 223.0"	223	"start scene: 0, tommy mean size: 0"	0	"start scene: 0, red mean size: 0"	0
frame00018.jpg		andy_frame00304.jpg	223	tommy_frame25094.jpg	186	red_frame01746.jpg	107	norton_frame03621.jpg	267	bogs_frame06849.jpg	267	skeet_frame03171.jpg	223	"start scene: 4757, andy mean size: 0"	0	"start scene: 4757, tommy mean size: 0"	0	"start scene: 4757, red mean size: 0"	0
frame00019.jpg		andy_frame00305.jpg	222	tommy_frame25095.jpg	186	red_frame01747.jpg	129	norton_frame03632.jpg	268	bogs_frame06850.jpg	267	skeet_frame03172.jpg	223	"start scene: 4880, andy mean size: 0"	0	"start scene: 4880, tommy mean size: 0"	0	"start scene: 4880, red mean size: 385.0"	385
frame00020.jpg		andy_frame00306.jpg	223	tommy_frame25096.jpg	223	red_frame01748.jpg	129	norton_frame03633.jpg	223	bogs_frame06851.jpg	267	skeet_frame03173.jpg	223	"start scene: 5574, andy mean size: 0"	0	"start scene: 5574, tommy mean size: 0"	0	"start scene: 5574, red mean size: 0"	0
frame00021.jpg		andy_frame00307.jpg	223	tommy_frame25097.jpg	186	red_frame01749.jpg	129	norton_frame03634.jpg	223	bogs_frame06852.jpg	267	skeet_frame03187.jpg	223	"start scene: 5648, andy mean size: 271.06666666666666"	271.0666667	"start scene: 5648, tommy mean size: 0"	0	"start scene: 5648, red mean size: 0"	0
frame00022.jpg		andy_frame00308.jpg	223	tommy_frame25098.jpg	186	red_frame01750.jpg	108	norton_frame03635.jpg	223	bogs_frame06853.jpg	321	skeet_frame03188.jpg	223	"start scene: 5843, andy mean size: 290.46031746031747"	290.4603175	"start scene: 5843, tommy mean size: 0"	0	"start scene: 5843, red mean size: 341.38461538461536"	341.3846154
frame00023.jpg		andy_frame00309.jpg	223	tommy_frame25099.jpg	186	red_frame01751.jpg	129	norton_frame03636.jpg	223	bogs_frame06854.jpg	321	skeet_frame03189.jpg	223	"start scene: 6776, andy mean size: 296.14285714285717"	296.1428571	"start scene: 6776, tommy mean size: 0"	0	"start scene: 6776, red mean size: 0"	0
frame00024.jpg		andy_frame00310.jpg	223	tommy_frame25104.jpg	223	red_frame01752.jpg	129	norton_frame03637.jpg	268	bogs_frame06855.jpg	321	skeet_frame03192.jpg	223	"start scene: 6972, andy mean size: 281.25"	281.25	"start scene: 6972, tommy mean size: 0"	0	"start scene: 6972, red mean size: 0"	0
frame00025.jpg		andy_frame00311.jpg	223	tommy_frame25105.jpg	186	red_frame01753.jpg	129	norton_frame03638.jpg	268	bogs_frame06856.jpg	268	skeet_frame03193.jpg	223	"start scene: 7026, andy mean size: 235.8057742782152"	235.8057743	"start scene: 7026, tommy mean size: 0"	0	"start scene: 7026, red mean size: 267.6374269005848"	267.6374269
frame00026.jpg		andy_frame00312.jpg	223	tommy_frame25106.jpg	186	red_frame01754.jpg	108	norton_frame03639.jpg	268	bogs_frame06857.jpg	321	skeet_frame03194.jpg	223	"start scene: 8365, andy mean size: 0"	0	"start scene: 8365, tommy mean size: 0"	0	"start scene: 8365, red mean size: 312.1666666666667"	312.1666667
frame00027.jpg		andy_frame00313.jpg	223	tommy_frame25111.jpg	223	red_frame01755.jpg	129	norton_frame03640.jpg	268	bogs_frame06858.jpg	268	skeet_frame03197.jpg	223	"start scene: 8594, andy mean size: 0"	0	"start scene: 8594, tommy mean size: 0"	0	"start scene: 8594, red mean size: 256.4310344827586"	256.4310345
frame00028.jpg		andy_frame00314.jpg	268	tommy_frame25112.jpg	223	red_frame01756.jpg	129	norton_frame03641.jpg	268	bogs_frame06859.jpg	321	skeet_frame03200.jpg	223	"start scene: 8682, andy mean size: 218.77777777777777"	218.7777778	"start scene: 8682, tommy mean size: 0"	0	"start scene: 8682, red mean size: 207.14285714285714"	207.1428571
frame00029.jpg		andy_frame00315.jpg	268	tommy_frame25113.jpg	223	red_frame01757.jpg	108	norton_frame03642.jpg	268	bogs_frame06860.jpg	267	skeet_frame03201.jpg	223	"start scene: 8941, andy mean size: 234.0"	234	"start scene: 8941, tommy mean size: 0"	0	"start scene: 8941, red mean size: 0"	0
frame00030.jpg		andy_frame00316.jpg	223	tommy_frame25114.jpg	223	red_frame01758.jpg	107	norton_frame03643.jpg	268	bogs_frame06874.jpg	321	skeet_frame03202.jpg	223	"start scene: 9029, andy mean size: 267.0"	267	"start scene: 9029, tommy mean size: 0"	0	"start scene: 9029, red mean size: 0"	0
frame00031.jpg		andy_frame00317.jpg	268	tommy_frame25115.jpg	223	red_frame01759.jpg	129	norton_frame03644.jpg	268	bogs_frame06875.jpg	321	skeet_frame03203.jpg	223	"start scene: 9386, andy mean size: 242.55555555555554"	242.5555556	"start scene: 9386, tommy mean size: 0"	0	"start scene: 9386, red mean size: 0"	0
frame00032.jpg		andy_frame00318.jpg	223	tommy_frame25119.jpg	186	red_frame01760.jpg	129	norton_frame03645.jpg	268	bogs_frame06876.jpg	321	skeet_frame03204.jpg	223	"start scene: 9473, andy mean size: 0"	0	"start scene: 9473, tommy mean size: 0"	0	"start scene: 9473, red mean size: 0"	0
frame00033.jpg		andy_frame00319.jpg	223	tommy_frame25120.jpg	186	red_frame01761.jpg	129	norton_frame03646.jpg	268	bogs_frame06877.jpg	321	skeet_frame03353.jpg	222	"start scene: 9511, andy mean size: 230.5"	230.5	"start scene: 9511, tommy mean size: 0"	0	"start scene: 9511, red mean size: 0"	0
frame00034.jpg		andy_frame00320.jpg	223	tommy_frame25128.jpg	223	red_frame01762.jpg	108	norton_frame03647.jpg	223	bogs_frame06878.jpg	268	skeet_frame03354.jpg	222	"start scene: 9620, andy mean size: 232.77777777777777"	232.7777778	"start scene: 9620, tommy mean size: 0"	0	"start scene: 9620, red mean size: 185.66666666666666"	185.6666667
frame00035.jpg		andy_frame00321.jpg	223	tommy_frame25129.jpg	223	red_frame01763.jpg	129	norton_frame03648.jpg	223	bogs_frame06879.jpg	268	skeet_frame03370.jpg	186	"start scene: 9724, andy mean size: 0"	0	"start scene: 9724, tommy mean size: 0"	0	"start scene: 9724, red mean size: 321.0"	321
frame00036.jpg		andy_frame00322.jpg	223	tommy_frame25132.jpg	223	red_frame01764.jpg	129	norton_frame03649.jpg	223	bogs_frame06880.jpg	268	skeet_frame03371.jpg	186	"start scene: 9769, andy mean size: 223.0"	223	"start scene: 9769, tommy mean size: 0"	0	"start scene: 9769, red mean size: 185.8"	185.8
frame00037.jpg		andy_frame00323.jpg	223	tommy_frame25133.jpg	223	red_frame01765.jpg	129	norton_frame03650.jpg	223	bogs_frame06881.jpg	321	skeet_frame03373.jpg	186	"start scene: 9838, andy mean size: 203.0262390670554"	203.0262391	"start scene: 9838, tommy mean size: 0"	0	"start scene: 9838, red mean size: 191.66666666666666"	191.6666667
frame00038.jpg		andy_frame00324.jpg	223	tommy_frame25136.jpg	223	red_frame01766.jpg	129	norton_frame03651.jpg	223	bogs_frame06882.jpg	321	skeet_frame03375.jpg	186	"start scene: 10878, andy mean size: 279.75757575757575"	279.7575758	"start scene: 10878, tommy mean size: 0"	0	"start scene: 10878, red mean size: 356.8222222222222"	356.8222222
